"Name","Avg MVP","MVP/m","Total MVP","Accuracy","Hit Diff","Win Rate","MVP","Accuracy","Win Rate","MVP","Accuracy","Win Rate","MVP","Accuracy","Win Rate","MVP","Accuracy","Win Rate","MVP","Accuracy","Win Rate"
"Jelly","12.02","0.99","312.42","80.53","0.88","42% (11/26)","14.25","78.99","33% (1/3)","10.04","82.74","40% (2/5)","12.05","74.94","33% (4/12)","13.95","89.78","100% (3/3)","10.99","91.5","33% (1/3)"
"Q","12","0","491.8","83.41","0.82","49% (20/41)","11.77","71.04","67% (2/3)","9.41","82.09","57% (4/7)","12.12","65.18","43% (3/7)","11.47","86.68","75% (3/4)","13","91.45","40% (8/20)"
"Zerok","11.95","3.46","227.12","84.91","0.72","53% (10/19)","13.62","84.39","40% (2/5)","9.97","82.89","67% (2/3)","10.32","76.38","60% (3/5)","0","0","NaN% (0/0)","12.92","93.47","50% (3/6)"
"P H N T M","11.92","0.95","309.98","72.42","0.88","35% (9/26)","13.48","74.28","20% (1/5)","10.8","87.89","33% (1/3)","12.47","64.91","43% (6/14)","9.07","83.89","33% (1/3)","8.44","87.5","0% (0/1)"
"Phoenix","11.81","0.9","35.44","77.31","0.82","67% (2/3)","0","0","NaN% (0/0)","20.34","91.01","100% (1/1)","4.5","54.55","0% (0/1)","0","0","NaN% (0/0)","10.6","86.36","100% (1/1)"
"EZ Bake","11.78","1.03","1248.89","76.11","0.68","55% (58/106)","15.24","59.64","70% (7/10)","7.9","62.11","56% (5/9)","10.75","57.75","57% (12/21)","9.6","82.87","30% (3/10)","12.57","86.97","55% (31/56)"
"Xallai","11.77","0","58.86","77.61","0.78","40% (2/5)","16.5","75","100% (1/1)","6.5","85.25","100% (1/1)","13.03","69.75","0% (0/2)","9.8","88.31","0% (0/1)","0","0","NaN% (0/0)"
"Jakobourne","11.62","0.96","58.12","77.82","0.81","60% (3/5)","0","0","NaN% (0/0)","4.2","72","0% (0/1)","12.7","50.52","100% (1/1)","0","0","NaN% (0/0)","13.74","88.86","67% (2/3)"
"CabbageMan","11.6","10.38","1322.28","77.29","0.67","44% (50/114)","11.26","72.99","27% (6/22)","9.21","80.13","27% (4/15)","11.44","63.88","43% (13/30)","10.57","85.53","50% (4/8)","13.05","87.26","59% (23/39)"
"DaNtHeMaN","11.6","1.53","904.63","77.82","0.68","41% (32/78)","15.37","72.52","22% (2/9)","9.66","84.24","13% (1/8)","11.82","69.08","59% (22/37)","9.21","87.64","29% (2/7)","11","92.57","29% (5/17)"
"Quill","11.48","4.16","3029.6","77.02","0.73","53% (139/264)","11.55","63.67","57% (13/23)","9.03","75.12","53% (10/19)","11.32","63.05","51% (42/83)","11.7","79.82","60% (9/15)","11.91","88.79","52% (65/124)"
"Vulpix","11.45","0","22.9","65.61","0.49","50% (1/2)","0","0","NaN% (0/0)","0","0","NaN% (0/0)","11.45","65.61","50% (1/2)","0","0","NaN% (0/0)","0","0","NaN% (0/0)"
